<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2009.11.24	00:00:00	89.028	89.032	88.826	88.892	4397	0	15
2009.11.24	04:00:00	88.891	88.926	88.669	88.689	5820	0	11
2009.11.24	08:00:00	88.690	88.758	88.553	88.679	9523	0	10
2009.11.24	12:00:00	88.676	88.695	88.348	88.574	9390	0	13
2009.11.24	16:00:00	88.570	88.625	88.421	88.444	7432	0	15
2009.11.24	20:00:00	88.446	88.576	88.432	88.506	4434	0	18
2009.11.25	00:00:00	88.509	88.627	88.209	88.317	5279	0	15
2009.11.25	04:00:00	88.315	88.390	88.243	88.308	5036	0	13
2009.11.25	08:00:00	88.301	88.377	87.548	87.766	9397	0	10
2009.11.25	12:00:00	87.765	87.791	87.385	87.536	9687	0	10
2009.11.25	16:00:00	87.537	87.735	87.464	87.483	6256	0	10
2009.11.25	20:00:00	87.484	87.496	87.210	87.343	4752	0	16
2009.11.26	00:00:00	87.344	87.484	87.210	87.212	5524	0	15
2009.11.26	04:00:00	87.215	87.313	86.304	86.972	9143	0	13
2009.11.26	08:00:00	86.979	87.059	86.598	86.771	10327	0	10
2009.11.26	12:00:00	86.774	86.843	86.602	86.609	7615	0	11
2009.11.26	16:00:00	86.610	86.690	86.435	86.485	7344	0	14
2009.11.26	20:00:00	86.489	86.609	86.318	86.396	3906	0	19
2009.11.27	00:00:00	86.408	86.425	84.819	86.008	12945	0	19
2009.11.27	04:00:00	86.005	86.530	85.886	85.902	8853	0	12
2009.11.27	08:00:00	85.900	86.819	85.722	86.393	11684	0	14
2009.11.27	12:00:00	86.392	86.958	86.285	86.881	8652	0	10
2009.11.27	16:00:00	86.882	87.001	86.646	86.659	7423	0	14
2009.11.27	20:00:00	86.663	86.752	86.328	86.521	2408	0	17
2009.11.30	00:00:00	86.567	86.842	86.400	86.706	8294	0	19
2009.11.30	04:00:00	86.705	86.774	86.030	86.203	8224	0	15
2009.11.30	08:00:00	86.204	86.630	85.861	86.350	9744	0	13
2009.11.30	12:00:00	86.349	86.736	86.153	86.624	9837	0	14
2009.11.30	16:00:00	86.623	86.688	86.032	86.241	8411	0	10
2009.11.30	20:00:00	86.240	86.447	86.199	86.327	4982	0	18
2009.12.01	00:00:00	86.322	87.125	86.156	87.065	6569	0	15
2009.12.01	04:00:00	87.066	87.526	86.672	86.816	10282	0	14
2009.12.01	08:00:00	86.814	87.079	86.709	86.777	9666	0	10
2009.12.01	12:00:00	86.778	87.058	86.742	86.841	7300	0	11
2009.12.01	16:00:00	86.842	86.844	86.508	86.607	6733	0	11
2009.12.01	20:00:00	86.606	86.751	86.558	86.733	4569	0	15
2009.12.02	00:00:00	86.736	86.971	86.586	86.887	5388	0	15
2009.12.02	04:00:00	86.886	87.246	86.886	87.246	6083	0	11
2009.12.02	08:00:00	87.254	87.380	87.139	87.336	9280	0	11
2009.12.02	12:00:00	87.334	87.334	86.982	87.198	7638	0	10
2009.12.02	16:00:00	87.197	87.344	87.109	87.243	7573	0	10
2009.12.02	20:00:00	87.244	87.659	87.187	87.604	5251	0	17
2009.12.03	00:00:00	87.608	87.881	87.473	87.866	7342	0	15
2009.12.03	04:00:00	87.865	87.907	87.681	87.688	5881	0	13
2009.12.03	08:00:00	87.689	87.904	87.637	87.844	8911	0	10
2009.12.03	12:00:00	87.843	88.470	87.787	88.252	10310	0	10
2009.12.03	16:00:00	88.256	88.269	88.106	88.231	6788	0	13
2009.12.03	20:00:00	88.230	88.413	88.170	88.384	4614	0	15
2009.12.04	00:00:00	88.380	88.380	87.991	88.262	5950	0	16
2009.12.04	04:00:00	88.261	88.261	88.044	88.211	5375	0	14
2009.12.04	08:00:00	88.215	88.351	88.048	88.308	6762	0	10
2009.12.04	12:00:00	88.305	89.882	88.231	89.657	10468	0	10
2009.12.04	16:00:00	89.659	90.362	89.597	90.315	12280	0	10
2009.12.04	20:00:00	90.316	90.756	90.307	90.539	5960	0	15
2009.12.07	00:00:00	90.252	90.358	89.875	89.879	7808	0	18
2009.12.07	04:00:00	89.880	89.998	89.761	89.897	6173	0	11
2009.12.07	08:00:00	89.899	90.049	89.701	89.914	11053	0	10
2009.12.07	12:00:00	89.915	90.090	89.807	89.861	9855	0	11
2009.12.07	16:00:00	89.864	89.879	89.038	89.325	11778	0	15
2009.12.07	20:00:00	89.328	89.554	89.308	89.352	6783	0	18
2009.12.08	00:00:00	89.376	89.437	88.848	89.060	7923	0	15
2009.12.08	04:00:00	89.059	89.099	88.760	89.026	7168	0	10
2009.12.08	08:00:00	89.025	89.169	88.580	88.668	11401	0	13
2009.12.08	12:00:00	88.667	88.732	88.175	88.414	13818	0	10
2009.12.08	16:00:00	88.412	88.572	88.221	88.432	11051	0	14
2009.12.08	20:00:00	88.434	88.491	88.298	88.341	6705	0	18
2009.12.09	00:00:00	88.339	88.686	88.291	88.363	8363	0	16
2009.12.09	04:00:00	88.362	88.460	88.159	88.165	7293	0	10
2009.12.09	08:00:00	88.172	88.182	87.367	87.950	12894	0	13
2009.12.09	12:00:00	87.951	88.067	87.660	87.805	9616	0	11
2009.12.09	16:00:00	87.800	87.951	87.748	87.851	8044	0	11
2009.12.09	20:00:00	87.850	88.101	87.713	87.986	6026	0	19
2009.12.10	00:00:00	87.991	88.377	87.908	88.225	6612	0	30
2009.12.10	04:00:00	88.226	88.227	87.733	87.868	6825	0	30
2009.12.10	08:00:00	87.867	88.404	87.826	88.252	8799	0	30
2009.12.10	12:00:00	88.251	88.443	87.892	88.278	8587	0	30
2009.12.10	16:00:00	88.277	88.399	88.111	88.164	7924	0	30
2009.12.10	20:00:00	88.167	88.325	88.157	88.301	4660	0	30
2009.12.11	00:00:00	88.298	88.748	88.204	88.686	6160	0	19
2009.12.11	04:00:00	88.684	88.947	88.630	88.818	6699	0	10
2009.12.11	08:00:00	88.817	88.982	88.605	88.937	8032	0	15
2009.12.11	12:00:00	88.942	89.552	88.786	89.494	9626	0	14
2009.12.11	16:00:00	89.492	89.799	89.011	89.366	9513	0	14
2009.12.11	20:00:00	89.368	89.374	89.028	89.097	3814	0	17
2009.12.14	00:00:00	89.285	89.305	88.467	88.521	7759	0	19
2009.12.14	04:00:00	88.520	88.983	88.403	88.669	7966	0	15
2009.12.14	08:00:00	88.668	88.784	88.314	88.509	8525	0	10
2009.12.14	12:00:00	88.508	88.580	88.411	88.490	6217	0	10
2009.12.14	16:00:00	88.486	88.741	88.427	88.639	6058	0	12
2009.12.14	20:00:00	88.638	88.710	88.552	88.693	3359	0	15
2009.12.15	00:00:00	88.697	88.766	88.607	88.687	4230	0	15
2009.12.15	04:00:00	88.688	88.996	88.684	88.928	5014	0	10
2009.12.15	08:00:00	88.929	89.423	88.929	89.377	8261	0	10
2009.12.15	12:00:00	89.378	89.676	89.336	89.476	8724	0	10
2009.12.15	16:00:00	89.473	89.942	89.464	89.797	7162	0	10
2009.12.15	20:00:00	89.798	89.861	89.546	89.686	3609	0	15
2009.12.16	00:00:00	89.679	89.700	89.458	89.566	5401	0	15
2009.12.16	04:00:00	89.564	89.591	89.379	89.505	4554	0	10
2009.12.16	08:00:00	89.508	89.869	89.497	89.668	7584	0	10
2009.12.16	12:00:00	89.667	89.766	89.460	89.628	6658	0	11
2009.12.16	16:00:00	89.627	89.799	89.484	89.727	5734	0	11
2009.12.16	20:00:00	89.728	89.974	89.618	89.793	5855	0	18
2009.12.17	00:00:00	89.799	90.068	89.792	90.011	5123	0	15
2009.12.17	04:00:00	90.003	90.254	89.981	90.065	6258	0	13
2009.12.17	08:00:00	90.066	90.071	89.556	89.973	8359	0	14
2009.12.17	12:00:00	89.970	90.148	89.836	90.027	7674	0	10
2009.12.17	16:00:00	90.010	90.360	89.886	89.930	7010	0	10
2009.12.17	20:00:00	89.929	90.041	89.711	89.884	4059	0	17
2009.12.18	00:00:00	89.859	89.907	88.966	89.678	10040	0	18
2009.12.18	04:00:00	89.679	89.808	89.227	89.669	6823	0	10
2009.12.18	08:00:00	89.671	90.312	89.645	90.267	8979	0	10
2009.12.18	12:00:00	90.259	90.503	90.118	90.333	7191	0	11
2009.12.18	16:00:00	90.338	90.895	90.301	90.452	7090	0	12
2009.12.18	20:00:00	90.447	90.490	90.279	90.485	3644	0	17
2009.12.21	00:00:00	90.541	90.575	90.277	90.387	4824	0	15
2009.12.21	04:00:00	90.387	90.537	90.239	90.482	5185	0	15
2009.12.21	08:00:00	90.489	90.590	90.332	90.422	6881	0	16
2009.12.21	12:00:00	90.421	90.864	90.382	90.831	6356	0	11
2009.12.21	16:00:00	90.832	91.161	90.832	91.138	5729	0	12
2009.12.21	20:00:00	91.136	91.226	91.092	91.154	3909	0	15
2009.12.22	00:00:00	91.148	91.469	90.996	91.369	7275	0	18
2009.12.22	04:00:00	91.365	91.405	91.207	91.253	5886	0	10
2009.12.22	08:00:00	91.247	91.335	91.120	91.329	7467	0	10
2009.12.22	12:00:00	91.327	91.657	91.295	91.657	7137	0	10
2009.12.22	16:00:00	91.661	91.858	91.625	91.722	6356	0	12
2009.12.22	20:00:00	91.724	91.856	91.724	91.816	3361	0	15
2009.12.23	00:00:00	91.807	91.827	91.548	91.711	2634	0	15
2009.12.23	04:00:00	91.710	91.794	91.610	91.705	3315	0	11
2009.12.23	08:00:00	91.706	91.863	91.611	91.806	6269	0	15
2009.12.23	12:00:00	91.805	91.862	91.615	91.679	4947	0	13
2009.12.23	16:00:00	91.689	91.693	91.309	91.565	6622	0	10
2009.12.23	20:00:00	91.566	91.722	91.563	91.582	3126	0	15
2009.12.24	00:00:00	91.585	91.733	91.486	91.524	4595	0	15
2009.12.24	04:00:00	91.525	91.546	91.196	91.215	4743	0	15
2009.12.24	08:00:00	91.216	91.351	91.123	91.224	5414	0	16
2009.12.24	12:00:00	91.223	91.727	91.174	91.704	5526	0	16
2009.12.24	16:00:00	91.704	91.767	91.610	91.628	2873	0	10
2009.12.28	00:00:00	91.571	91.757	91.413	91.459	5393	0	26
2009.12.28	04:00:00	91.460	91.584	91.456	91.494	4372	0	26
2009.12.28	08:00:00	91.495	91.588	91.437	91.532	5332	0	26
2009.12.28	12:00:00	91.533	91.556	91.478	91.546	4522	0	30
2009.12.28	16:00:00	91.545	91.659	91.510	91.553	4516	0	30
2009.12.28	20:00:00	91.554	91.653	91.542	91.642	3267	0	45
2009.12.29	00:00:00	91.633	91.756	91.619	91.685	5090	0	45
2009.12.29	04:00:00	91.686	91.740	91.652	91.738	3953	0	21
2009.12.29	08:00:00	91.735	91.750	91.515	91.733	6506	0	20
2009.12.29	12:00:00	91.730	91.794	91.620	91.751	5733	0	20
2009.12.29	16:00:00	91.750	92.061	91.702	91.843	6845	0	20
2009.12.29	20:00:00	91.842	92.051	91.810	91.988	4487	0	21
2009.12.30	00:00:00	91.989	92.248	91.897	92.126	5298	0	21
2009.12.30	04:00:00	92.127	92.248	91.973	92.075	5251	0	20
2009.12.30	08:00:00	92.074	92.153	92.052	92.134	4866	0	22
2009.12.30	12:00:00	92.135	92.547	92.112	92.500	6529	0	23
2009.12.30	16:00:00	92.502	92.751	92.281	92.430	7150	0	20
2009.12.30	20:00:00	92.431	92.500	92.326	92.421	3197	0	22
2009.12.31	00:00:00	92.421	92.596	92.391	92.418	3151	0	20
2009.12.31	04:00:00	92.419	92.433	91.902	92.104	3493	0	20
2009.12.31	08:00:00	92.103	92.412	92.081	92.377	5645	0	21
2009.12.31	12:00:00	92.378	92.758	92.269	92.747	7221	0	23
2009.12.31	16:00:00	92.748	93.129	92.736	93.129	5960	0	22
2010.01.04	00:00:00	92.918	93.060	92.690	92.862	7065	0	20
2010.01.04	04:00:00	92.861	93.050	92.712	93.039	5700	0	10
2010.01.04	08:00:00	93.045	93.206	92.717	92.931	8860	0	15
2010.01.04	12:00:00	92.930	92.937	92.477	92.629	7897	0	14
2010.01.04	16:00:00	92.622	92.692	92.181	92.603	8018	0	17
2010.01.04	20:00:00	92.602	92.613	92.372	92.409	4466	0	18
2010.01.05	00:00:00	92.408	92.531	92.114	92.234	6440	0	15
2010.01.05	04:00:00	92.235	92.256	91.628	91.720	7647	0	15
2010.01.05	08:00:00	91.717	92.109	91.677	91.931	8889	0	10
2010.01.05	12:00:00	91.930	92.150	91.305	91.311	8369	0	10
2010.01.05	16:00:00	91.317	91.649	91.247	91.597	7731	0	11
2010.01.05	20:00:00	91.601	91.777	91.583	91.723	3741	0	15
2010.01.06	00:00:00	91.725	91.953	91.516	91.779	6293	0	15
2010.01.06	04:00:00	91.780	92.166	91.780	92.093	5761	0	12
2010.01.06	08:00:00	92.091	92.492	92.019	92.309	8702	0	10
2010.01.06	12:00:00	92.308	92.478	92.059	92.436	7823	0	10
2010.01.06	16:00:00	92.438	92.734	92.320	92.545	7719	0	10
2010.01.06	20:00:00	92.540	92.540	92.257	92.341	5150	0	18
2010.01.07	00:00:00	92.339	92.456	92.196	92.292	5948	0	15
2010.01.07	04:00:00	92.289	92.857	92.103	92.724	6048	0	10
2010.01.07	08:00:00	92.719	92.965	92.551	92.919	8879	0	10
2010.01.07	12:00:00	92.916	93.391	92.905	93.189	9660	0	10
2010.01.07	16:00:00	93.187	93.322	93.080	93.126	6728	0	10
2010.01.07	20:00:00	93.125	93.748	93.066	93.589	5857	0	15
2010.01.08	00:00:00	93.582	93.652	93.132	93.280	7303	0	18
2010.01.08	04:00:00	93.283	93.419	93.127	93.397	5713	0	10
2010.01.08	08:00:00	93.398	93.433	92.829	93.256	7309	0	11
2010.01.08	12:00:00	93.258	93.459	92.277	92.808	10772	0	12
2010.01.08	16:00:00	92.809	93.245	92.518	92.521	4202	0	15
2010.01.08	20:00:00	92.568	92.723	92.558	92.650	227	0	19
2010.01.11	00:00:00	92.571	92.573	92.218	92.240	5859	0	18
2010.01.11	04:00:00	92.243	92.397	92.172	92.323	4854	0	12
2010.01.11	08:00:00	92.324	92.559	92.182	92.488	6837	0	11
2010.01.11	12:00:00	92.489	92.655	92.322	92.386	6490	0	10
2010.01.11	16:00:00	92.388	92.450	91.807	91.971	7926	0	10
2010.01.11	20:00:00	91.969	92.170	91.877	92.049	3997	0	15
2010.01.12	00:00:00	92.052	92.418	91.817	92.115	6947	0	15
2010.01.12	04:00:00	92.114	92.294	92.062	92.198	5117	0	10
2010.01.12	08:00:00	92.197	92.214	91.631	91.641	8297	0	10
2010.01.12	12:00:00	91.637	91.861	91.125	91.177	11128	0	11
2010.01.12	16:00:00	91.173	91.282	90.740	90.918	8182	0	10
2010.01.12	20:00:00	90.920	91.129	90.862	91.129	4117	0	15
2010.01.13	00:00:00	91.128	91.344	90.903	91.039	6812	0	15
2010.01.13	04:00:00	91.042	91.178	90.931	91.156	5036	0	10
2010.01.13	08:00:00	91.158	91.479	91.097	91.350	8118	0	10
2010.01.13	12:00:00	91.351	91.518	91.125	91.403	8497	0	10
2010.01.13	16:00:00	91.404	91.548	91.188	91.346	8509	0	10
2010.01.13	20:00:00	91.358	91.507	91.305	91.364	3514	0	15
2010.01.14	00:00:00	91.447	91.673	91.278	91.660	4835	0	15
2010.01.14	04:00:00	91.661	91.788	91.582	91.613	5148	0	10
2010.01.14	08:00:00	91.616	92.037	91.583	91.959	6879	0	10
2010.01.14	12:00:00	91.957	91.959	91.124	91.321	9608	0	10
2010.01.14	16:00:00	91.331	91.382	90.839	90.910	9539	0	10
2010.01.14	20:00:00	90.909	91.270	90.851	91.246	4309	0	15
2010.01.15	00:00:00	91.238	91.312	90.921	91.069	7442	0	15
2010.01.15	04:00:00	91.068	91.222	90.990	91.041	5368	0	10
2010.01.15	08:00:00	91.040	91.050	90.646	90.685	8790	0	10
2010.01.15	12:00:00	90.690	91.189	90.597	90.854	9741	0	10
2010.01.15	16:00:00	90.853	90.998	90.696	90.843	7414	0	10
2010.01.15	20:00:00	90.839	90.949	90.745	90.757	3603	0	15
2010.01.18	00:00:00	90.900	90.989	90.709	90.767	6152	0	17
2010.01.18	04:00:00	90.766	91.054	90.756	90.913	6428	0	12
2010.01.18	08:00:00	90.916	91.045	90.808	90.814	6737	0	12
2010.01.18	12:00:00	90.815	90.822	90.619	90.749	5843	0	10
2010.01.18	16:00:00	90.752	90.835	90.670	90.714	4090	0	11
2010.01.18	20:00:00	90.713	90.782	90.615	90.662	3146	0	16
2010.01.19	00:00:00	90.662	90.760	90.509	90.586	6363	0	17
2010.01.19	04:00:00	90.587	90.613	90.345	90.493	6758	0	12
2010.01.19	08:00:00	90.492	90.849	90.310	90.842	10231	0	10
2010.01.19	12:00:00	90.841	91.117	90.698	91.094	10913	0	10
2010.01.19	16:00:00	91.095	91.257	90.987	91.056	7636	0	10
2010.01.19	20:00:00	91.057	91.167	91.045	91.128	4261	0	16
2010.01.20	00:00:00	91.128	91.249	91.057	91.246	7931	0	16
2010.01.20	04:00:00	91.244	91.350	91.073	91.134	6969	0	10
2010.01.20	08:00:00	91.133	91.141	90.785	90.854	9804	0	10
2010.01.20	12:00:00	90.854	91.450	90.810	91.308	10697	0	13
2010.01.20	16:00:00	91.309	91.335	91.119	91.241	7549	0	13
2010.01.20	20:00:00	91.240	91.308	91.171	91.255	4297	0	16
2010.01.21	00:00:00	91.255	91.549	91.179	91.415	8018	0	16
2010.01.21	04:00:00	91.414	91.649	91.393	91.465	6436	0	10
2010.01.21	08:00:00	91.464	91.754	91.454	91.710	8976	0	11
2010.01.21	12:00:00	91.709	91.868	91.567	91.714	9426	0	11
2010.01.21	16:00:00	91.713	91.764	90.106	90.262	13954	0	10
2010.01.21	20:00:00	90.258	90.496	90.138	90.409	7477	0	17
2010.01.22	00:00:00	90.416	90.468	89.775	89.973	11671	0	16
2010.01.22	04:00:00	89.971	90.332	89.819	90.189	7903	0	10
2010.01.22	08:00:00	90.188	90.552	90.158	90.289	10553	0	10
2010.01.22	12:00:00	90.288	90.328	89.975	90.283	10959	0	10
2010.01.22	16:00:00	90.281	90.289	89.811	89.939	9945	0	13
2010.01.22	20:00:00	89.940	89.966	89.807	89.812	5047	0	16
2010.01.25	00:00:00	89.929	90.257	89.812	90.205	7273	0	15
2010.01.25	04:00:00	90.206	90.280	90.044	90.275	5489	0	10
2010.01.25	08:00:00	90.276	90.327	89.987	90.222	8103	0	13
2010.01.25	12:00:00	90.223	90.322	90.068	90.068	7297	0	10
2010.01.25	16:00:00	90.074	90.306	89.950	90.272	8563	0	12
2010.01.25	20:00:00	90.271	90.304	90.173	90.237	3978	0	16
2010.01.26	00:00:00	90.238	90.540	90.162	90.171	7096	0	17
2010.01.26	04:00:00	90.178	90.393	89.548	90.014	11269	0	15
2010.01.26	08:00:00	90.015	90.322	89.378	89.510	11795	0	11
2010.01.26	12:00:00	89.513	89.744	89.481	89.669	9286	0	11
2010.01.26	16:00:00	89.678	89.756	89.338	89.660	9339	0	10
2010.01.26	20:00:00	89.661	89.720	89.574	89.616	4569	0	16
2010.01.27	00:00:00	89.618	89.709	89.337	89.403	8525	0	17
2010.01.27	04:00:00	89.404	89.496	89.132	89.218	8078	0	10
2010.01.27	08:00:00	89.216	89.603	89.156	89.494	10006	0	11
2010.01.27	12:00:00	89.495	89.648	89.306	89.328	9266	0	10
2010.01.27	16:00:00	89.323	89.546	89.217	89.520	8806	0	10
2010.01.27	20:00:00	89.518	90.072	89.382	89.976	8070	0	15
2010.01.28	00:00:00	89.986	90.381	89.862	90.268	8233	0	15
2010.01.28	04:00:00	90.270	90.371	90.140	90.259	6343	0	11
2010.01.28	08:00:00	90.258	90.537	90.167	90.251	9888	0	10
2010.01.28	12:00:00	90.250	90.307	89.937	90.179	9211	0	10
2010.01.28	16:00:00	90.177	90.207	89.626	89.871	9989	0	10
2010.01.28	20:00:00	89.870	89.949	89.798	89.878	5453	0	17
2010.01.29	00:00:00	89.883	90.040	89.577	89.955	8784	0	15
2010.01.29	04:00:00	89.954	90.015	89.795	89.957	6758	0	10
2010.01.29	08:00:00	89.959	90.302	89.938	90.265	8694	0	10
2010.01.29	12:00:00	90.264	90.909	90.165	90.812	10709	0	10
2010.01.29	16:00:00	90.813	90.816	90.223	90.372	10067	0	14
2010.01.29	20:00:00	90.370	90.418	90.219	90.255	4001	0	16
2010.02.01	00:00:00	90.205	90.370	90.032	90.085	7024	0	17
2010.02.01	04:00:00	90.083	90.258	89.987	90.183	6293	0	11
2010.02.01	08:00:00	90.185	90.465	90.159	90.248	7699	0	13
2010.02.01	12:00:00	90.246	90.477	90.138	90.477	7390	0	10
2010.02.01	16:00:00	90.487	90.931	90.487	90.730	9080	0	13
2010.02.01	20:00:00	90.729	90.733	90.578	90.697	4559	0	17
2010.02.02	00:00:00	90.697	90.903	90.673	90.848	5404	0	17
2010.02.02	04:00:00	90.851	90.897	90.581	90.735	6534	0	11
2010.02.02	08:00:00	90.732	90.792	90.465	90.792	8845	0	13
2010.02.02	12:00:00	90.793	90.810	90.302	90.359	8068	0	13
2010.02.02	16:00:00	90.344	90.426	90.280	90.369	6086	0	11
2010.02.02	20:00:00	90.370	90.433	90.285	90.366	4062	0	17
2010.02.03	00:00:00	90.377	90.541	90.295	90.350	5669	0	17
2010.02.03	04:00:00	90.351	90.517	90.346	90.434	4120	0	10
2010.02.03	08:00:00	90.431	90.472	90.068	90.448	7893	0	10
2010.02.03	12:00:00	90.449	90.957	90.428	90.877	9104	0	10
2010.02.03	16:00:00	90.878	91.265	90.823	91.143	8209	0	10
2010.02.03	20:00:00	91.144	91.156	90.922	90.957	4262	0	15
2010.02.04	00:00:00	90.958	91.045	90.789	90.850	4932	0	15
2010.02.04	04:00:00	90.849	91.036	90.844	90.990	4132	0	10
2010.02.04	08:00:00	90.989	91.067	90.579	90.663	7323	0	10
2010.02.04	12:00:00	90.662	90.864	90.443	90.519	8302	0	10
2010.02.04	16:00:00	90.525	90.576	88.572	89.028	11663	0	10
2010.02.04	20:00:00	89.030	89.225	88.859	89.114	6772	0	16
2010.02.05	00:00:00	89.115	89.761	89.115	89.653	7739	0	15
2010.02.05	04:00:00	89.651	89.749	89.506	89.660	5472	0	10
2010.02.05	08:00:00	89.661	89.768	89.328	89.451	10991	0	11
2010.02.05	12:00:00	89.449	89.865	89.110	89.407	11478	0	10
2010.02.05	16:00:00	89.405	89.473	88.816	89.022	11825	0	11
2010.02.05	20:00:00	89.024	89.429	89.018	89.237	5880	0	17
2010.02.08	00:00:00	89.145	89.439	89.136	89.273	5986	0	17
2010.02.08	04:00:00	89.274	89.390	89.230	89.236	5709	0	10
2010.02.08	08:00:00	89.235	89.556	89.231	89.445	8077	0	10
2010.02.08	12:00:00	89.446	89.446	89.156	89.294	8532	0	10
2010.02.08	16:00:00	89.296	89.378	89.210	89.291	7734	0	10
2010.02.08	20:00:00	89.295	89.367	89.154	89.266	4156	0	15
2010.02.09	00:00:00	89.264	89.482	89.200	89.376	5436	0	15
2010.02.09	04:00:00	89.377	89.597	89.354	89.548	5578	0	10
2010.02.09	08:00:00	89.551	89.725	89.480	89.614	7660	0	10
2010.02.09	12:00:00	89.617	89.798	89.411	89.442	9023	0	10
2010.02.09	16:00:00	89.440	89.745	89.317	89.697	11998	0	10
2010.02.09	20:00:00	89.693	89.918	89.541	89.804	5313	0	15
2010.02.10	00:00:00	89.793	90.004	89.716	89.770	6397	0	15
2010.02.10	04:00:00	89.769	89.804	89.527	89.747	6270	0	10
2010.02.10	08:00:00	89.748	89.799	89.560	89.622	7849	0	10
2010.02.10	12:00:00	89.621	89.730	89.238	89.531	8632	0	10
2010.02.10	16:00:00	89.532	90.048	89.532	89.913	9624	0	11
2010.02.10	20:00:00	89.911	90.034	89.859	89.955	3769	0	15
2010.02.11	00:00:00	89.955	90.131	89.889	89.904	4067	0	15
2010.02.11	04:00:00	89.905	89.977	89.812	89.977	3690	0	10
2010.02.11	08:00:00	89.978	90.032	89.792	89.795	5995	0	10
2010.02.11	12:00:00	89.794	89.851	89.566	89.723	9762	0	10
2010.02.11	16:00:00	89.721	89.874	89.673	89.676	7955	0	10
2010.02.11	20:00:00	89.677	89.767	89.649	89.709	3989	0	15
2010.02.12	00:00:00	89.721	89.830	89.587	89.681	5109	0	15
2010.02.12	04:00:00	89.680	89.797	89.581	89.742	4036	0	10
2010.02.12	08:00:00	89.746	90.333	89.596	89.911	11122	0	10
2010.02.12	12:00:00	89.914	90.404	89.869	89.954	10142	0	10
2010.02.12	16:00:00	89.951	90.109	89.842	89.976	7607	0	10
2010.02.12	20:00:00	89.978	90.046	89.909	89.943	2854	0	15
2010.02.15	00:00:00	90.009	90.223	89.972	90.120	4627	0	15
2010.02.15	04:00:00	90.119	90.190	90.103	90.127	3723	0	10
2010.02.15	08:00:00	90.126	90.191	89.936	90.007	5274	0	10
2010.02.15	12:00:00	90.009	90.027	89.909	89.996	3822	0	10
2010.02.15	16:00:00	89.993	90.039	89.916	89.957	3894	0	10
2010.02.15	20:00:00	89.956	90.072	89.922	90.027	3159	0	15
2010.02.16	00:00:00	90.022	90.059	89.913	89.935	4849	0	15
2010.02.16	04:00:00	89.936	89.980	89.706	89.812	5604	0	10
2010.02.16	08:00:00	89.811	90.014	89.753	89.976	7199	0	10
2010.02.16	12:00:00	89.977	90.173	89.821	90.067	8388	0	13
2010.02.16	16:00:00	90.066	90.497	90.055	90.133	9503	0	13
2010.02.16	20:00:00	90.129	90.219	90.025	90.194	4663	0	17
2010.02.17	00:00:00	90.188	90.319	90.173	90.304	5431	0	15
2010.02.17	04:00:00	90.303	90.363	90.266	90.336	4575	0	10
2010.02.17	08:00:00	90.332	90.629	90.147	90.527	9535	0	10
2010.02.17	12:00:00	90.528	91.104	90.507	91.014	10289	0	10
2010.02.17	16:00:00	91.013	91.149	90.675	90.954	9185	0	10
2010.02.17	20:00:00	90.953	91.368	90.953	91.161	6375	0	17
2010.02.18	00:00:00	91.168	91.198	90.881	90.949	6938	0	17
2010.02.18	04:00:00	90.951	91.000	90.829	90.959	5419	0	10
2010.02.18	08:00:00	90.957	91.048	90.727	90.841	9229	0	10
2010.02.18	12:00:00	90.842	90.958	90.573	90.726	8188	0	10
2010.02.18	16:00:00	90.732	91.478	90.732	91.205	10053	0	10
2010.02.18	20:00:00	91.193	92.041	91.187	92.008	8285	0	17
2010.02.19	00:00:00	92.006	92.078	91.718	91.781	8607	0	17
2010.02.19	04:00:00	91.782	91.929	91.677	91.894	5591	0	10
2010.02.19	08:00:00	91.896	92.050	91.689	91.840	8273	0	10
2010.02.19	12:00:00	91.841	91.974	91.608	91.724	7773	0	10
2010.02.19	16:00:00	91.723	92.141	91.698	91.757	7465	0	10
2010.02.19	20:00:00	91.755	91.815	91.489	91.505	3251	0	15
2010.02.22	00:00:00	91.634	91.891	91.587	91.622	5337	0	15
2010.02.22	04:00:00	91.623	91.717	91.581	91.593	3671	0	10
2010.02.22	08:00:00	91.594	91.659	91.245	91.268	6923	0	10
2010.02.22	12:00:00	91.270	91.471	91.171	91.326	6935	0	10
2010.02.22	16:00:00	91.324	91.324	91.019	91.197	6451	0	10
2010.02.22	20:00:00	91.198	91.208	91.078	91.199	3173	0	15
2010.02.23	00:00:00	91.204	91.288	91.023	91.038	4317	0	15
2010.02.23	04:00:00	91.040	91.125	90.933	91.001	4292	0	10
2010.02.23	08:00:00	91.004	91.008	90.849	90.965	7472	0	10
2010.02.23	12:00:00	90.964	91.099	90.590	90.758	8639	0	10
2010.02.23	16:00:00	90.669	90.669	89.920	90.004	9908	0	10
2010.02.23	20:00:00	90.003	90.250	89.989	90.200	3976	0	15
2010.02.24	00:00:00	90.204	90.294	90.094	90.188	4574	0	15
2010.02.24	04:00:00	90.189	90.258	90.171	90.217	3456	0	10
2010.02.24	08:00:00	90.219	90.352	89.970	90.125	7327	0	10
2010.02.24	12:00:00	90.126	90.260	89.942	90.219	8312	0	10
2010.02.24	16:00:00	90.206	90.263	89.761	90.192	9062	0	10
